,fga,fg3a,fta,per,ts_pct,usg_pct,bpm,season,player,win_pct,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
0,20.1,5.1,10.2,31.1,0.604,33.5,11.8,2009-10,LeBron James,0.7439024390243902,116.0,1205.0,1230.0,0.98,76.0,39.0,29.7,7.3,8.6,1.6,1.0,0.503,0.333,0.767,18.5,0.299
1,20.3,4.3,10.2,26.2,0.607,32.0,7.1,2009-10,Kevin Durant,0.6097560975609756,4.0,609.0,1230.0,0.495,82.0,39.5,30.1,7.6,2.8,1.4,1.0,0.476,0.365,0.9,16.1,0.238
2,21.5,4.1,7.4,21.9,0.545,32.3,4.1,2009-10,Kobe Bryant,0.6951219512195121,0.0,599.0,1230.0,0.487,73.0,38.8,27.0,5.4,5.0,1.5,0.3,0.456,0.329,0.811,9.4,0.16
3,10.2,0.1,10.0,24.0,0.63,23.9,4.4,2009-10,Dwight Howard,0.7195121951219512,3.0,478.0,1230.0,0.389,82.0,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0.0,0.592,13.2,0.223
4,19.6,3.2,9.1,28.0,0.562,34.9,9.2,2009-10,Dwyane Wade,0.573170731707317,0.0,119.0,1230.0,0.097,77.0,36.3,26.6,4.8,6.5,1.8,1.1,0.476,0.3,0.761,13.0,0.224
5,21.8,2.7,8.9,22.2,0.548,33.4,2.3,2009-10,Carmelo Anthony,0.6463414634146342,0.0,65.0,1230.0,0.053,69.0,38.2,28.2,6.6,3.2,1.3,0.4,0.458,0.316,0.83,7.9,0.145
6,18.5,1.5,7.2,22.9,0.578,28.8,4.2,2009-10,Dirk Nowitzki,0.6707317073170732,0.0,55.0,1230.0,0.045,81.0,37.5,25.0,7.7,2.7,0.9,1.0,0.481,0.421,0.915,12.3,0.194
7,12.2,3.6,2.8,21.6,0.615,22.9,4.3,2009-10,Steve Nash,0.6585365853658537,0.0,49.0,1230.0,0.04,81.0,32.8,16.5,3.3,11.0,0.5,0.1,0.507,0.426,0.938,9.9,0.178
8,13.9,3.4,5.5,20.6,0.574,23.8,3.8,2009-10,Deron Williams,0.6463414634146342,0.0,7.0,1230.0,0.006,76.0,36.9,18.7,4.0,10.5,1.3,0.2,0.469,0.371,0.801,10.3,0.177
9,15.4,0.1,7.7,22.6,0.615,27.3,1.0,2009-10,Amar'e Stoudemire,0.6585365853658537,0.0,5.0,1230.0,0.004,82.0,34.6,23.1,8.9,1.0,0.6,1.0,0.557,0.167,0.771,10.7,0.181
10,12.0,4.7,4.7,22.5,0.584,25.8,6.7,2009-10,Manu Ginóbili,0.6097560975609756,0.0,3.0,1230.0,0.002,75.0,28.7,16.5,3.8,4.9,1.4,0.3,0.441,0.377,0.87,9.7,0.216
11,13.2,5.6,7.0,20.2,0.601,24.3,3.7,2009-10,Chauncey Billups,0.6463414634146342,0.0,1.0,1230.0,0.001,73.0,34.1,19.5,3.1,5.6,1.1,0.1,0.418,0.386,0.91,9.5,0.182
12,16.5,0.3,8.4,25.0,0.592,28.7,3.6,2009-10,Chris Bosh,0.4878048780487805,0.0,1.0,1230.0,0.001,70.0,36.1,24.0,10.8,2.4,0.6,1.0,0.518,0.364,0.797,9.6,0.182
13,17.5,4.9,5.4,15.6,0.518,27.5,0.4,2009-10,Stephen Jackson,0.5,0.0,1.0,1230.0,0.001,81.0,38.6,20.6,5.0,3.7,1.6,0.5,0.423,0.328,0.779,5.0,0.077
14,18.2,4.6,3.5,19.3,0.538,26.3,2.7,2009-10,Joe Johnson,0.6463414634146342,0.0,1.0,1230.0,0.001,76.0,38.0,21.3,4.6,4.9,1.1,0.1,0.458,0.369,0.818,8.4,0.14
15,19.7,4.8,6.9,23.5,0.55,32.2,6.8,2010-11,Derrick Rose,0.7560975609756098,113.0,1182.0,1210.0,0.977,81.0,37.4,25.0,4.1,7.7,1.0,0.6,0.445,0.332,0.858,13.1,0.208
16,13.4,0.1,11.7,26.1,0.616,27.2,5.3,2010-11,Dwight Howard,0.6341463414634146,3.0,643.0,1210.0,0.531,78.0,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0.0,0.596,14.4,0.235
17,18.8,3.5,8.4,27.3,0.594,31.5,8.1,2010-11,LeBron James,0.7073170731707317,4.0,522.0,1210.0,0.431,79.0,38.8,26.7,7.5,7.0,1.6,0.6,0.51,0.33,0.759,15.6,0.244
18,20.0,4.3,7.1,23.9,0.548,35.1,5.2,2010-11,Kobe Bryant,0.6951219512195121,1.0,428.0,1210.0,0.354,82.0,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,10.3,0.178
19,19.7,5.3,8.7,23.6,0.589,30.6,4.9,2010-11,Kevin Durant,0.6707317073170732,0.0,190.0,1210.0,0.157,78.0,38.9,27.7,6.8,2.7,1.1,1.0,0.462,0.35,0.88,12.0,0.189
20,16.2,2.3,6.1,23.4,0.612,28.2,5.1,2010-11,Dirk Nowitzki,0.6951219512195121,0.0,113.0,1210.0,0.093,73.0,34.3,23.0,7.0,2.6,0.5,0.6,0.517,0.393,0.892,11.1,0.213
21,18.2,2.7,8.6,25.6,0.581,31.6,6.6,2010-11,Dwyane Wade,0.7073170731707317,0.0,24.0,1210.0,0.02,76.0,37.1,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,12.8,0.218
22,12.7,5.5,5.1,21.7,0.581,26.0,5.4,2010-11,Manu Ginóbili,0.7439024390243902,0.0,20.0,1210.0,0.017,80.0,30.3,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,9.9,0.195
23,19.0,0.3,7.7,22.7,0.565,30.9,1.4,2010-11,Amar'e Stoudemire,0.5121951219512195,0.0,9.0,1210.0,0.007,78.0,36.8,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,8.0,0.134
24,16.8,0.3,8.5,21.9,0.549,27.3,2.6,2010-11,Blake Griffin,0.3902439024390244,0.0,5.0,1210.0,0.004,82.0,38.0,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152
25,9.9,0.6,1.9,17.1,0.495,18.3,3.1,2010-11,Rajon Rondo,0.6829268292682927,0.0,5.0,1210.0,0.004,68.0,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,6.6,0.126
26,13.7,0.9,3.9,20.4,0.569,25.5,1.8,2010-11,Tony Parker,0.7439024390243902,0.0,3.0,1210.0,0.002,78.0,32.4,17.5,3.1,6.6,1.2,0.0,0.519,0.357,0.769,8.2,0.156
27,11.6,2.3,4.8,23.7,0.578,21.1,7.1,2010-11,Chris Paul,0.5609756097560976,0.0,2.0,1210.0,0.002,80.0,36.0,15.9,4.1,9.8,2.4,0.1,0.463,0.388,0.878,13.9,0.232
28,18.9,2.4,8.1,30.7,0.605,32.0,10.9,2011-12,LeBron James,0.696969696969697,85.0,1074.0,1210.0,0.888,62.0,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298
29,19.7,5.2,7.6,26.2,0.61,31.3,7.0,2011-12,Kevin Durant,0.7121212121212122,24.0,889.0,1210.0,0.735,66.0,38.6,28.0,8.0,3.5,1.3,1.2,0.496,0.387,0.86,12.2,0.23
30,14.8,3.6,5.0,27.0,0.581,24.3,9.2,2011-12,Chris Paul,0.6060606060606061,6.0,385.0,1210.0,0.318,60.0,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,12.7,0.278
31,23.0,4.9,7.8,21.9,0.527,35.7,3.3,2011-12,Kobe Bryant,0.6212121212121212,2.0,352.0,1210.0,0.291,58.0,38.5,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,6.2,0.132
32,14.8,1.0,4.7,22.0,0.539,27.7,2.7,2011-12,Tony Parker,0.7575757575757576,4.0,331.0,1210.0,0.274,60.0,32.1,18.3,2.9,7.7,1.0,0.1,0.48,0.23,0.799,7.1,0.177
33,19.3,5.1,8.4,25.4,0.568,28.8,5.2,2011-12,Kevin Love,0.3939393939393939,0.0,58.0,1210.0,0.048,55.0,39.0,26.0,13.3,2.0,0.9,0.5,0.448,0.372,0.824,10.0,0.223
34,13.4,0.1,10.6,24.2,0.569,26.1,4.3,2011-12,Dwight Howard,0.5606060606060606,0.0,13.0,1210.0,0.011,54.0,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0.0,0.491,7.7,0.179
35,10.8,0.8,3.4,17.5,0.483,20.7,2.2,2011-12,Rajon Rondo,0.5909090909090909,0.0,12.0,1210.0,0.01,53.0,36.9,11.9,4.8,11.7,1.8,0.1,0.448,0.238,0.597,4.9,0.121
36,9.0,2.3,2.3,20.3,0.625,19.6,3.4,2011-12,Steve Nash,0.5,0.0,7.0,1210.0,0.006,62.0,31.6,12.5,3.0,10.7,0.6,0.1,0.532,0.39,0.894,5.9,0.144
37,17.1,1.1,6.1,26.3,0.559,31.3,7.9,2011-12,Dwyane Wade,0.696969696969697,0.0,6.0,1210.0,0.005,49.0,33.2,22.1,4.8,4.6,1.7,1.3,0.497,0.268,0.791,7.7,0.227
38,17.8,4.4,6.1,23.0,0.532,30.5,6.4,2011-12,Derrick Rose,0.7575757575757576,0.0,5.0,1210.0,0.004,39.0,35.3,21.8,3.4,7.9,0.9,0.7,0.435,0.312,0.812,6.0,0.211
39,16.7,3.4,5.7,21.7,0.564,29.2,3.7,2011-12,Dirk Nowitzki,0.5454545454545454,0.0,4.0,1210.0,0.003,62.0,33.5,21.6,6.7,2.2,0.7,0.5,0.457,0.368,0.896,7.6,0.175
40,19.2,3.0,6.3,22.9,0.538,32.7,3.0,2011-12,Russell Westbrook,0.7121212121212122,0.0,4.0,1210.0,0.003,66.0,35.3,23.6,4.6,5.5,1.7,0.3,0.457,0.316,0.823,7.9,0.163
41,12.6,0.1,4.3,22.5,0.531,26.2,3.3,2011-12,Tim Duncan,0.7575757575757576,0.0,3.0,1210.0,0.002,58.0,28.2,15.4,9.0,2.3,0.7,1.5,0.492,0.0,0.695,5.9,0.174
42,15.5,5.4,3.1,18.4,0.557,24.9,2.1,2011-12,Joe Johnson,0.6060606060606061,0.0,1.0,1210.0,0.001,60.0,35.5,18.8,3.7,3.9,0.8,0.2,0.454,0.388,0.849,6.4,0.145
43,17.8,3.3,7.0,31.6,0.64,30.2,11.7,2012-13,LeBron James,0.8048780487804879,120.0,1207.0,1210.0,0.998,76.0,37.9,26.8,8.0,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322
44,17.7,4.1,9.3,28.3,0.647,29.8,9.3,2012-13,Kevin Durant,0.7317073170731707,0.0,765.0,1210.0,0.632,81.0,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.416,0.905,18.9,0.291
45,22.2,6.2,7.6,24.8,0.56,35.6,4.3,2012-13,Carmelo Anthony,0.6585365853658537,1.0,475.0,1210.0,0.393,67.0,37.0,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,9.5,0.184
46,12.2,3.3,4.6,26.4,0.594,22.6,8.8,2012-13,Chris Paul,0.6829268292682927,0.0,289.0,1210.0,0.239,70.0,33.4,16.9,3.7,9.7,2.4,0.1,0.481,0.328,0.885,13.9,0.287
47,20.4,5.2,8.0,23.0,0.57,31.9,4.6,2012-13,Kobe Bryant,0.5487804878048781,0.0,184.0,1210.0,0.152,78.0,38.6,27.3,5.6,6.0,1.4,0.3,0.463,0.324,0.839,10.9,0.174
48,15.1,1.0,5.0,23.0,0.588,27.7,3.6,2012-13,Tony Parker,0.7073170731707317,0.0,86.0,1210.0,0.071,66.0,32.9,20.3,3.0,7.6,0.8,0.1,0.522,0.353,0.845,9.3,0.206
49,14.1,0.1,4.3,24.4,0.554,27.8,5.3,2012-13,Tim Duncan,0.7073170731707317,0.0,65.0,1210.0,0.054,69.0,30.1,17.8,9.9,2.7,0.7,2.7,0.502,0.286,0.817,8.3,0.191
50,17.1,6.2,10.2,23.0,0.6,29.0,5.6,2012-13,James Harden,0.5487804878048781,0.0,33.0,1210.0,0.027,78.0,38.3,25.9,4.9,5.8,1.8,0.5,0.438,0.368,0.851,12.8,0.206
51,18.7,3.7,7.0,23.9,0.532,32.8,4.4,2012-13,Russell Westbrook,0.7317073170731707,0.0,9.0,1210.0,0.007,82.0,34.9,23.2,5.2,7.4,1.8,0.3,0.438,0.323,0.8,11.6,0.195
52,15.8,1.0,6.2,24.0,0.571,29.5,4.4,2012-13,Dwyane Wade,0.8048780487804879,0.0,5.0,1210.0,0.004,69.0,34.7,21.2,5.0,5.1,1.9,0.8,0.521,0.258,0.725,9.6,0.192
53,17.8,7.7,3.7,21.3,0.589,26.4,5.4,2012-13,Stephen Curry,0.573170731707317,0.0,3.0,1210.0,0.002,78.0,38.2,22.9,4.0,6.9,1.6,0.2,0.451,0.453,0.9,11.2,0.18
54,12.5,0.2,3.0,19.2,0.535,24.5,2.6,2012-13,Kevin Garnett,0.5061728395061729,0.0,1.0,1210.0,0.001,68.0,29.7,14.8,7.8,2.3,1.1,0.9,0.496,0.125,0.786,5.6,0.133
55,10.9,0.2,4.0,19.5,0.559,19.2,5.2,2012-13,Marc Gasol,0.6829268292682927,0.0,1.0,1210.0,0.001,80.0,35.0,14.1,7.8,4.0,1.0,1.7,0.494,0.071,0.848,11.5,0.197
56,13.3,3.2,4.3,17.9,0.549,22.3,2.0,2012-13,Ty Lawson,0.6951219512195121,0.0,1.0,1210.0,0.001,73.0,34.4,16.7,2.7,6.9,1.5,0.1,0.461,0.366,0.756,7.4,0.141
57,14.7,0.1,4.1,19.2,0.561,23.2,1.8,2012-13,David Lee,0.573170731707317,0.0,1.0,1210.0,0.001,79.0,36.8,18.5,11.2,3.5,0.8,0.3,0.519,0.0,0.797,9.1,0.15
58,9.5,0.1,3.6,18.1,0.534,17.2,3.4,2012-13,Joakim Noah,0.5487804878048781,0.0,1.0,1210.0,0.001,66.0,36.8,11.9,11.1,4.0,1.2,2.1,0.481,0.0,0.751,7.3,0.145
59,20.8,6.1,9.9,29.8,0.635,33.0,10.2,2013-14,Kevin Durant,0.7195121951219512,119.0,1232.0,1250.0,0.986,81.0,38.5,32.0,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295
